scan loop image frame stagePos time timeStamp exposureTime kineticCycleTime temperature unstabalizedTemperature baseline baselineOffset mcp gain preamplifierGain outputAmplifier averagingFilterMode averagingFactor nioseFilster threshold detectionWavelength 
17 1 10 0 1.055200E+2 1441423102 0 60 60.1257 -999 -89.78 0 0 0 1000 0 0 1 0 0 0 0  
17 1 11 0 1.055350E+2 1441423164 0 60 60.1257 -999 -89.78 0 0 0 1000 0 0 1 0 0 0 0  
17 1 12 0 1.055500E+2 1441423226 0 60 60.1257 -999 -89.78 0 0 0 1000 0 0 1 0 0 0 0  
17 1 13 0 1.055650E+2 1441423289 0 60 60.1257 -999 -89.78 0 0 0 1000 0 0 1 0 0 0 0  
17 1 14 0 1.055800E+2 1441423351 0 60 60.1257 -999 -89.78 0 0 0 1000 0 0 1 0 0 0 0  
17 1 15 0 1.055950E+2 1441423413 0 60 60.1257 -999 -89.78 0 0 0 1000 0 0 1 0 0 0 0  
17 1 16 0 1.056100E+2 1441423476 0 60 60.1257 -999 -89.78 0 0 0 1000 0 0 1 0 0 0 0  
17 1 17 0 1.056250E+2 1441423538 0 60 60.1257 -999 -89.78 0 0 0 1000 0 0 1 0 0 0 0  
17 1 18 0 1.056400E+2 1441423600 0 60 60.1257 -999 -89.78 0 0 0 1000 0 0 1 0 0 0 0  
17 1 19 0 1.056550E+2 1441423662 0 60 60.1257 -89.78 -999 0 0 0 1000 0 0 1 0 0 0 0  
17 1 1 0 1.053000E+2 1441422541 0 60 60.1257 -999 -90.89 0 0 0 1000 0 0 1 0 0 0 0  
17 1 20 0 1.056700E+2 1441423725 0 60 60.1257 -89.78 -999 0 0 0 1000 0 0 1 0 0 0 0  
17 1 21 0 1.056850E+2 1441423787 0 60 60.1257 -89.78 -999 0 0 0 1000 0 0 1 0 0 0 0  
17 1 22 0 1.057000E+2 1441423849 0 60 60.1257 -89.78 -999 0 0 0 1000 0 0 1 0 0 0 0  
